"AppName","AppURL"
"Adobe Acrobat","https://chrome.google.com/webstore/detail/efaidnbmnnnibpcajpcglclefindmkaj"
"My Diary","https://chrome.google.com/webstore/detail/igfnkanfehhehlajnhpajibfcfgkaikl"
"Tab Resize - split screen layouts","https://chrome.google.com/webstore/detail/bkpenclhmiealbebdopglffmfdiilejc"
"OpenOffice Writer on rollApp","https://chrome.google.com/webstore/detail/aefnmlhnadcihhnfplfbmcmodoiannan"
"Google Keep - notes and lists","https://chrome.google.com/webstore/detail/hmjkmjkepdijhoojdojkdfohbdgmmhki"
"Duolingo on the Web","https://chrome.google.com/webstore/detail/aiahmijlpehemcpleichkcokhegllfjl"
"Progress Bar Timer","https://chrome.google.com/webstore/detail/lmnlbapfmmoaehepmgbkgfcgpddlhbko"
"Beatlab","https://chrome.google.com/webstore/detail/alnfdikmbdfgkcbdodjcbmedanjinmkk"
"Google Analytics Opt-out Add-on (by Google)","https://chrome.google.com/webstore/detail/fllaojicojecljbmefodhfapmkghcbnh"
"Global Issues In Context","https://chrome.google.com/webstore/detail/mipjkbpeeabmhjkjafceoikmnjlbkppc"
"Zoho Invoice Timer","https://chrome.google.com/webstore/detail/iehkgjmhdpofilpcgfkelniplfckagbo"
"My Diary","https://chrome.google.com/webstore/detail/adolnkbfnlkkefhlhnjogliicljjfnip"
"Outlook.com","https://chrome.google.com/webstore/detail/pfpeapihoiogbcmdmnibeplnikfnhoge"
